    # tiltAngle       # Jtheta # Total Energy
 # ------------  -------------   -------------
            112       0.738962       0.737357
          112.5       0.741768       0.738751
            113        0.74405       0.739881
          113.5       0.745811       0.740751
            114       0.747055       0.741364
          114.5       0.747783       0.741722
            115       0.747994       0.741826
          115.5       0.747691       0.741677
            116       0.746875       0.741275
          116.5       0.745542       0.740618
            117       0.743692       0.739704
          117.5       0.741326       0.738532
            118       0.738462       0.737108
          118.5       0.735079       0.735419
            119       0.731173       0.733459
          119.5       0.726743       0.731223
            120       0.721787       0.728706
          120.5       0.716299       0.725899
            121       0.710279       0.722796
          121.5       0.703725       0.719388
            122       0.696631       0.715665
          122.5       0.688996       0.711618
            123       0.680817       0.707236
          123.5       0.672093       0.702507
            124       0.662818       0.697418
          124.5       0.652992       0.691955
            125       0.642613       0.686105
          125.5       0.631677        0.67985
            126       0.620185       0.673175
          126.5       0.608136       0.666062
            127       0.595531       0.658493
          127.5       0.582367       0.650446
            128       0.568647       0.641901
          128.5       0.554373       0.632835
            129       0.539548       0.623224
          129.5       0.524175       0.613043
            130       0.538291         0.6224
          130.5        0.55319       0.632075
            131       0.567538       0.641203
          131.5       0.581333       0.649808
            132       0.594574       0.657913
          132.5       0.607256       0.665538
            133       0.619379       0.672703
          133.5       0.630945       0.679428
            134       0.641953        0.68573
          134.5       0.652404       0.691626
            135       0.662299       0.697131
          135.5       0.671642       0.702261
            136        0.68043       0.707027
          136.5       0.688669       0.711444
            137       0.696361       0.715523
          137.5       0.703507       0.719274
            138       0.710111       0.722709
          138.5       0.716176       0.725836
            139       0.721702       0.728663
          139.5       0.726695       0.731199
            140       0.731156        0.73345
          140.5       0.735085       0.735422
            141       0.738488       0.737121
          141.5       0.741374       0.738556
            142       0.743738       0.739727
          142.5       0.745578       0.740636
            143       0.746899       0.741287
          143.5       0.747697        0.74168
            144       0.747976       0.741817
          144.5       0.747732       0.741697
            145        0.74697       0.741322
          145.5       0.745686       0.740689
            146       0.743876       0.739795
          146.5       0.741544        0.73864
            147       0.738681       0.737217
          147.5       0.735289       0.735524
            148        0.73136       0.733553
          148.5       0.727881       0.731799
            149       0.728584       0.732154
          149.5       0.728737       0.732231
            150       0.728353       0.732037
          150.5       0.727452       0.731582
            151       0.726049       0.730872
          151.5       0.724157       0.729912
            152       0.721791       0.728708
          152.5       0.718962       0.727264
            153       0.715685       0.725584
          153.5        0.71197        0.72367
            154        0.70783       0.721526
          154.5       0.703275       0.719153
            155       0.698315       0.716552
          155.5       0.692957       0.713723
            156       0.687211       0.710666
          156.5       0.681087       0.707381
            157       0.674591       0.703867
          157.5       0.667863       0.700194
            158       0.660835       0.696321
          158.5       0.653454       0.692214
            159       0.645729        0.68787
          159.5       0.637666       0.683287
            160       0.629272       0.678462
          160.5       0.620554       0.673391
            161       0.611517        0.66807
          161.5       0.602165       0.662493
            162       0.592506       0.656657
          162.5       0.582545       0.650556
            163       0.572287       0.644184
          163.5       0.561734       0.637533
            164       0.550893       0.630597
          164.5       0.539768       0.623368
            165       0.528361       0.615837
          165.5       0.516679       0.607997
            166       0.504726       0.599838
          166.5       0.492503       0.591349
            167        0.48002       0.582522
          167.5       0.467278       0.573345
            168       0.454281       0.563805
          168.5       0.441036       0.553892
            169       0.427548       0.543592
          169.5       0.413822       0.532892
            170       0.399863       0.521777
          170.5       0.385678       0.510233
            171       0.371274       0.498243
          171.5        0.35666       0.485792
            172       0.341841       0.472861
          172.5       0.326828       0.459433
            173       0.311629       0.445488
          173.5       0.296257       0.431006
            174       0.280723       0.415966
          174.5       0.265039       0.400345
            175       0.249222       0.384121
          175.5       0.233287       0.367268
            176       0.217253        0.34976
          176.5       0.201142       0.331572
            177       0.184977       0.312673
          177.5       0.168786       0.293035
            178       0.152599       0.272625
          178.5       0.113245       0.219206
            179      0.0683922        0.14963
          179.5      0.0293466        0.07662
            180              0              0
